,avg_KD,avg_opp_KD,avg_SIG_STR_pct,avg_opp_SIG_STR_pct,avg_TD_pct,avg_opp_TD_pct,avg_SUB_ATT,avg_opp_SUB_ATT,avg_REV,avg_opp_REV,avg_SIG_STR_att,avg_SIG_STR_landed,avg_opp_SIG_STR_att,avg_opp_SIG_STR_landed,avg_TOTAL_STR_att,avg_TOTAL_STR_landed,avg_opp_TOTAL_STR_att,avg_opp_TOTAL_STR_landed,avg_TD_att,avg_TD_landed,avg_opp_TD_att,avg_opp_TD_landed,avg_HEAD_att,avg_HEAD_landed,avg_opp_HEAD_att,avg_opp_HEAD_landed,avg_BODY_att,avg_BODY_landed,avg_opp_BODY_att,avg_opp_BODY_landed,avg_LEG_att,avg_LEG_landed,avg_opp_LEG_att,avg_opp_LEG_landed,avg_DISTANCE_att,avg_DISTANCE_landed,avg_opp_DISTANCE_att,avg_opp_DISTANCE_landed,avg_CLINCH_att,avg_CLINCH_landed,avg_opp_CLINCH_att,avg_opp_CLINCH_landed,avg_GROUND_att,avg_GROUND_landed,avg_opp_GROUND_att,avg_opp_GROUND_landed,avg_CTRL_time(seconds),avg_opp_CTRL_time(seconds),total_time_fought(seconds),total_rounds_fought,total_title_bouts,current_win_streak,current_lose_streak,longest_win_streak,wins,losses,draw,win_by_Decision_Majority,win_by_Decision_Split,win_by_Decision_Unanimous,win_by_KO/TKO,win_by_Submission,win_by_TKO_Doctor_Stoppage,Height_cms,Reach_cms,Weight_lbs,age,Stance_Orthodox,Stance_Southpaw,Stance_Switch,Stance_nan,Win
0,0.046875,0.125,0.459277344,0.4046875,0.3221875,0.068867188,0.189453125,0,0.283203125,0,130.8183594,60.11328125,129.3378906,50.54882813,151.5546875,78.32421875,137.4277344,58.5078125,2.73046875,1.453125,1.552734375,0.28515625,102.328125,38.81445313,111.2675781,37.83007813,20.95117188,14.41992188,12.15625,7.1796875,7.5390625,6.87890625,5.9140625,5.5390625,125.1308594,55.88867188,122.1933594,45.86914063,5.03125,3.763671875,6.263671875,3.966796875,0.65625,0.4609375,0.880859375,0.712890625,148.5078125,80.09765625,809.53125,28,0,0,1,1,4,6,0,1,0,1,2,0,0,180.34,193.04,170,35,1,0,0,0,0
1,0,0.064941406,0.465732422,0.374169922,0.176464844,0.063125,0.140625,0.00390625,0,0.005859375,205.9765625,98.19970703,172.0097656,64.88037109,229.9946289,112.0332031,175.2397461,66.98388672,8.8828125,1.451660156,0.828125,0.12890625,177.7670898,79.14746094,135.918457,33.09570313,23.76904297,15.45458984,18.43359375,15.51318359,4.440429688,3.59765625,17.65771484,16.27148438,191.5717773,88.39453125,166.706543,59.97167969,11.99707031,8.303222656,4.961914063,4.734863281,2.407714844,1.501953125,0.341308594,0.173828125,162.1787109,8.647949219,876.0532227,34,0,0,1,4,9,3,0,0,1,6,1,1,0,180.34,182.88,170,32,0,1,0,0,0
2,0,0.5,0.52,0.525,0.33,0,0.5,0,0,0,18,11,13,9.5,37.5,26,24,20.5,2,1,0,0,15,8.5,12.5,9.5,1.5,1,0.5,0,1.5,1.5,0,0,7,3.5,5,2,0,0,0,0,11,7.5,8,7.5,189.5,5.5,238.5,3,0,0,1,1,1,1,0,0,0,0,0,1,0,177.8,177.8,170,34,1,0,0,0,0
3,0.78125,0.000488281,0.462264404,0.308778076,0.438669434,0.012851563,0.111572266,0.082397461,0.0703125,0.09387207,116.8579102,54.81323242,92.4420166,29.63586426,141.159668,76.14660645,112.5213623,46.5892334,3.261352539,1.606811523,0.822631836,0.018554688,106.2434082,47.30029297,71.52392578,17.5201416,7.393920898,4.764526367,11.14782715,5.485717773,3.220581055,2.748413086,9.770263672,6.630004883,86.64123535,36.51013184,78.8939209,19.84362793,2.933959961,2.516357422,8.376708984,6.042236328,27.28271484,15.78674316,5.171386719,3.75,291.2689209,12.01672363,861.5285645,34,0,2,0,3,10,4,0,0,1,4,0,4,1,180.34,185.42,170,26,1,0,0,0,0
4,0.15625,0.28515625,0.346367188,0.346132813,0.167929688,0.049375,0.015625,0.0625,0,0.03125,98.01171875,34.12890625,109.8046875,31.40234375,108.7382813,43.74609375,115.0546875,36.1015625,3.7890625,1.0234375,2.90625,0.4375,74.6640625,20.640625,88.1875,17.734375,12.078125,5.34765625,10.73828125,4.3203125,11.26953125,8.140625,10.87890625,9.34765625,93.2109375,31.75,106.3710938,28.390625,1.23046875,0.96484375,1.125,1.109375,3.5703125,1.4140625,2.30859375,1.90234375,93.09765625,72.6171875,760.2851563,18,2,0,1,3,4,5,0,0,2,1,1,0,0,187.96,190.5,170,32,0,0,1,0,0
5,0.271484375,0.016113281,0.615327148,0.478365479,0.220444336,0.251914063,0.657104492,0.0078125,0,0,93.46612549,54.21173096,48.40380859,21.88519287,136.4866333,96.01416016,72.61853027,45.5581665,5.139709473,1.467224121,1.824279785,0.507324219,58.22747803,27.60198975,33.47119141,11.28466797,18.60894775,15.69763184,10.84942627,7.289001465,16.62969971,10.91210938,4.083190918,3.311523438,67.91455078,32.83886719,42.16778564,16.10461426,10.66662598,8.055297852,5.755187988,5.560241699,14.88494873,13.31756592,0.480834961,0.220336914,297.2454224,143.1798706,993.7979126,36,0,3,0,6,12,3,0,0,0,5,3,4,0,177.8,180.34,170,34,0,1,0,0,1
6,0,0,0.55,0.5,1,0.25,0,0,0,0,177,98,133,67,194,114,136,70,4,4,4,1,118,51,108,49,36,25,6,6,23,22,19,12,151,78,119,61,20,14,14,6,6,6,0,0,292,91,900,3,0,1,0,1,1,0,0,0,0,1,0,0,0,185.42,193.04,170,33,1,0,0,0,1
7,0.031253815,0.129882813,0.607942705,0.483098557,0.371339674,0.211784165,0.009796143,0.007944345,6.13E-05,0.500499725,107.9965646,62.22525263,64.61701703,30.28288221,148.7551801,101.340343,76.88841677,41.00459576,6.228290319,2.602824211,1.470685005,0.526433945,78.99010801,36.6281743,52.54654121,20.47492504,19.38825655,17.2006371,4.924897432,3.811076641,9.618200064,8.396441221,7.145578384,5.996880531,84.44064903,40.76683807,55.36026907,23.0326395,16.14632773,14.46960878,5.851892471,4.392631769,7.40958786,6.988805771,3.40485549,2.857610941,328.8798692,159.3904254,883.513015,61,0,1,0,7,17,6,0,0,1,10,5,1,0,190.5,203.2,170,33,1,0,0,0,0
8,0.188127041,1.188720703,0.55468032,0.520202532,0.174428995,0.010173898,0.074752837,1.032243043,0.015665054,3.67E-05,56.54940945,31.58361024,56.35894406,28.31647813,60.48771611,34.94902277,68.05251426,39.19383705,0.935589194,0.516913503,0.78091836,0.08603403,47.38912076,24.32657906,42.7983067,17.93458667,8.512875736,6.709662974,6.500788271,3.82605809,0.647412956,0.547368199,7.059849083,6.555833369,39.43557569,18.92204553,47.29831225,21.46625924,10.63799793,7.978861034,1.572063535,0.849468499,6.47583583,4.682703674,7.488568276,6.000750393,120.8528591,60.49869883,401.9071006,58,0,1,0,7,15,11,0,0,0,2,11,2,0,182.88,190.5,170,40,1,0,0,0,0
9,0.125,0,0.409375,0.358125,0.285625,0.5375,1.125,0.5,0,0,76.6875,31.3125,87.75,30.5625,106.75,56.6875,99.625,40.875,9.5625,2.5,1.4375,0.6875,66.4375,23.75,61.875,13.8125,6.875,5.3125,5.8125,2.5,3.375,2.25,20.0625,14.25,62.375,20.5,82.6875,27.6875,10.0625,7.75,3.4375,1.8125,4.25,3.0625,1.625,1.0625,298.875,30.6875,900,15,0,3,0,3,4,1,0,0,0,4,0,0,0,177.8,193.04,170,33,1,0,0,0,1
10,0.895996094,0.192382813,0.344575195,0.439804688,0.562758789,0.31157959,0,0.040527344,0.033203125,0,111.0852051,42.81201172,147.8789063,64.98803711,114.5046387,44.10522461,174.255127,90.99438477,2.596191406,1.64453125,4.407226563,2.079345703,87.98120117,28.05322266,120.4130859,44.09375,6.153564453,3.840087891,19.16455078,13.73071289,16.95043945,10.91870117,8.301269531,7.163574219,99.59448242,36.76025391,121.1813965,42.11547852,9.052978516,4.092285156,13.79541016,11.10546875,2.437744141,1.959472656,12.90209961,11.76708984,127.7316895,173.2312012,876.6069336,32,0,1,0,4,9,4,0,0,1,2,6,0,0,182.88,180.34,170,32,1,0,0,0,0
11,0.875,0.25,0.6025,0.434375,0.125,0,0.0625,0,0,0.25,58.8125,31.1875,50.125,18.375,62.0625,34.4375,56.5,23.625,1,0.5,1.5,0,54.125,28.0625,36,10.0625,3.3125,1.75,10.9375,5.75,1.375,1.375,3.1875,2.5625,41.75,18.625,43.875,15.25,4.9375,3.25,3.75,2.125,12.125,9.3125,2.5,1,67.0625,17.0625,306.6875,9,0,5,0,5,5,0,0,0,0,1,3,1,0,180.34,190.5,170,30,1,0,0,0,1
12,0.134765625,0.251953125,0.423837891,0.509199219,0.5,0.178447266,0.086914063,0,0.0625,0.015625,205.6728516,103.7539063,148.1708984,76.90917969,226.6748047,121.2060547,157.34375,84.04785156,1.690429688,1.5,2.512695313,0.618164063,182.9960938,84.98925781,112.5683594,48.36914063,16.24414063,12.59179688,29.13378906,23.8125,6.432617188,6.172851563,6.46875,4.727539063,180.5078125,85.34277344,139.5859375,70.76074219,17.04882813,12.77636719,7.00390625,4.884765625,8.116210938,5.634765625,1.581054688,1.263671875,85.421875,36.00488281,632.2890625,26,0,2,0,3,7,4,0,0,1,4,1,1,0,180.34,182.88,170,30,0,1,0,0,0
13,1,0,0.54,0.625,0,0,0,0,0,0,13.5,7.5,3,1.5,13.5,7.5,3,1.5,0.5,0,0,0,9.5,4,1.5,0.5,2,2,0.5,0,2,1.5,1,1,9.5,4,3,1.5,2,2,0,0,2,1.5,0,0,2.5,0,28.5,2,0,2,0,2,2,0,0,0,0,0,2,0,0,182.88,195.58,170,26,0,0,1,0,1
14,0.75,0,0.605,0.4425,0.125,0.055,0,0.25,0,0,50,23.25,51.5,24.75,52.75,25.75,62.25,32.25,0.5,0.25,2.75,0.5,46.25,21,33.75,12.25,2.75,1.5,12.75,7.75,1,0.75,5,4.75,35.75,12,44.5,18.75,1.5,0.5,6,5,12.75,10.75,1,1,19.25,44,297.25,6,0,1,0,1,2,1,0,0,0,0,2,0,0,177.8,185.42,170,30,1,0,0,0,1
15,0.640992165,0.313476563,0.535357156,0.440368295,0.342299995,0.003723459,0.12506485,0.252075195,2.86E-06,4.77E-07,113.3020639,61.21786261,124.006321,53.79155016,135.2829752,82.54874802,129.9737148,59.10692453,4.261185646,1.376132965,0.601924419,0.022386551,85.89313936,38.20680618,97.91510153,36.91688633,20.78298473,16.40863132,20.74208212,11.65364361,6.625939846,6.602425098,5.349137306,5.221020222,93.3889699,46.83891249,121.2654552,52.57445574,15.81684875,11.36525011,2.347452164,0.89650631,4.096245289,3.013700008,0.393413544,0.320588112,201.0749083,4.106943607,645.701232,48,0,2,0,4,12,10,0,0,1,4,5,2,0,187.96,190.5,170,36,1,0,0,0,1
16,0,0.71875,0.370625,0.54,0.096875,0.283125,0,0.6875,0.25,0.03125,71.53125,26.96875,60.46875,31.0625,88.90625,41.34375,73.53125,41.875,1.625,0.5,1.96875,1.1875,53.90625,15,48.625,22.40625,11.5625,7.03125,5.53125,2.625,6.0625,4.9375,6.3125,6.03125,54.0625,16.875,45.34375,21.90625,10.84375,6.3125,4.25,2,6.625,3.78125,10.875,7.15625,113.8125,162.96875,534,16,0,1,0,1,2,4,0,0,1,1,0,0,0,180.34,187.96,170,36,1,0,0,0,0
17,0,0,0,0.64,0,0.5,0,1,0,0,0,0,62,40,0,0,98,68,0,0,2,1,0,0,62,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,61,40,0,179,189,1,0,0,1,0,0,1,0,0,0,0,0,0,0,187.96,198.12,170,25,1,0,0,0,0
18,1,0,0.58,0.25,0,0,0,0,0,0,17,10,4,1,17,10,4,1,1,0,0,0,12,6,3,1,4,4,1,0,1,0,0,0,10,4,4,1,4,4,0,0,3,2,0,0,5,0,27,1,0,1,0,1,1,0,0,0,0,0,1,0,0,182.88,195.58,170,26,0,1,0,0,1
19,0,1,0.4,0.85,0,0,0,0,0,0,5,2,21,18,5,2,21,18,1,0,0,0,2,0,21,18,2,1,0,0,1,1,0,0,5,2,5,3,0,0,0,0,0,0,16,15,0,11,48,1,0,0,1,0,0,1,0,0,0,0,0,0,0,177.8,177.8,170,33,0,0,1,0,1
20,0.75,0.002441406,0.553686523,0.441870117,0.152119141,0.266191406,2.164550781,0.5,0.313964844,0.501953125,109.9365234,61.71972656,124.5664063,56.26123047,130.2460938,79.19140625,139.6572266,69.48583984,3.463867188,0.727050781,1.525390625,0.505859375,83.93359375,40.13769531,112.2724609,47.25048828,11.59765625,8.027832031,9.374023438,6.472167969,14.40527344,13.55419922,2.919921875,2.538574219,100.6020508,54.80078125,92.07666016,35.37695313,5.951171875,4.665527344,10.66455078,5.735351563,3.383300781,2.253417969,21.82519531,15.14892578,208.9326172,160.5419922,825.9790039,29,0,1,0,6,8,4,0,0,0,3,3,2,0,187.96,185.42,170,34,1,0,0,0,0
21,0.375,0.507904053,0.357557678,0.47861084,0.057866516,0.42490387,0.01965332,0.068359375,0.125,0,237.8009644,82.73406982,174.9641418,86.51644897,262.9951172,106.0654297,195.4270325,105.9004822,6.872344971,0.361663818,2.968719482,1.320404053,184.6716309,49.10369873,144.5827026,62.63574219,28.45318604,12.27511597,14.44442749,9.511505127,24.67614746,21.35525513,15.93701172,14.36920166,226.3157959,74.35046387,165.9838867,81.42907715,7.11932373,4.633789063,6.618804932,3.933013916,4.365844727,3.749816895,2.361450195,1.15435791,128.9945984,66.33319092,894.942688,45,1,3,0,3,8,8,0,0,1,5,0,2,0,180.34,190.5,170,35,0,1,0,0,0
22,0.5625,0.000976563,0.444528809,0.317556152,0.377338867,0.025703125,0.223144531,0.164794922,0.140625,0.187744141,85.71582031,37.62646484,103.8840332,34.27172852,108.3193359,59.29321289,130.0427246,55.1784668,4.522705078,2.213623047,0.645263672,0.037109375,67.48681641,25.60058594,86.04785156,23.0402832,11.7878418,6.529052734,10.2956543,6.971435547,6.441162109,5.496826172,7.540527344,4.260009766,76.2824707,31.02026367,80.7878418,16.68725586,4.867919922,4.032714844,16.75341797,12.08447266,4.565429688,2.573486328,6.342773438,5.5,290.5378418,24.03344727,823.0571289,31,0,2,0,3,9,4,0,0,1,3,0,4,1,180.34,185.42,170,26,1,0,0,0,0
23,0.245239258,0,0.522425537,0.521015625,0.031738281,0.207988281,0.15625,0.500488281,0,0,70.93408203,36.0682373,131.7010498,81.04589844,100.1702881,64.56518555,218.2576904,167.3000488,1.831542969,0.048339844,6.832275391,1.500976563,50.5501709,20.05322266,79.06396484,37.36425781,16.89013672,13.08044434,38.80078125,35.17492676,3.493774414,2.934570313,13.83630371,8.506713867,50.22119141,17.81420898,83.07824707,36.33557129,12.77990723,11.59057617,28.74389648,26.19274902,7.932983398,6.663452148,19.87890625,18.51757813,133.8708496,520.2980957,1364.869629,42,6,1,0,3,9,5,0,1,1,1,5,1,0,175.26,187.96,170,38,1,0,0,0,0
24,0.440429688,0.536132813,0.450585938,0.553095703,0.136181641,0.1340625,0.025390625,0.005859375,0.1484375,0,164.1552734,72.89550781,135.9365234,75.44824219,177.6113281,84.43457031,138.3691406,77.69335938,2.610351563,0.532226563,0.640625,0.3359375,129.8212891,46.60058594,108.8662109,51.60644531,15.08984375,8.704101563,6.790039063,4.625,19.24414063,17.59082031,20.28027344,19.21679688,145.7705078,62.05761719,123.7451172,67.62988281,11.25195313,5.578125,3.315429688,1.444335938,7.1328125,5.259765625,8.875976563,6.374023438,76.31738281,52.93847656,524.6855469,18,0,1,0,2,6,5,0,0,0,0,4,2,0,182.88,193.04,170,30,1,0,0,0,1
25,0,0,0.36,0.43,0,0,0,0,0,0,11,4,23,10,11,4,23,10,0,0,0,0,7,0,22,9,0,0,1,1,4,4,0,0,11,4,23,10,0,0,0,0,0,0,0,0,0,0,59,1,0,0,1,0,0,1,0,0,0,0,0,0,0,187.96,187.96,185,30,1,0,0,0,0
26,0,0.5,0.405,0.555,0.5,0.33,0,1.5,0,0,110.5,46,76.5,42,124.5,58,94.5,57,1,0.5,9.5,3.5,87,30.5,49.5,16.5,17,11,18,16.5,6.5,4.5,9,9,92,33,55.5,26,17.5,13,19.5,15,1,0,1.5,1,178,218,747,5,0,0,2,0,0,2,0,0,0,0,0,0,0,182.88,193.04,170,25,1,0,0,0,0
27,0.062507629,0.259765625,0.51588541,0.396197114,0.172679348,0.42356833,0.019592285,0.015888691,0.000122547,0.000999451,127.9931293,62.45050526,84.23403406,34.56576443,153.5103602,86.680686,91.77683353,41.00919151,5.456580639,1.205648422,1.94137001,1.052867889,96.98021603,37.25634861,69.09308243,22.94985008,16.7765131,13.4012742,4.849794865,3.622153282,14.23640013,11.79288244,10.29115677,7.993761063,105.8812981,42.53367615,77.72053814,31.06527901,14.29265547,12.93921757,5.703784943,2.785263538,7.81917572,6.977611542,0.809710979,0.715221882,163.7597384,225.7808509,867.0260301,58,0,1,0,7,16,6,0,0,1,9,5,1,0,190.5,203.2,170,33,1,0,0,0,0
28,0,0,0.43,0.36,0,0,0,0,0,0,23,10,11,4,23,10,11,4,0,0,0,0,22,9,7,0,1,1,0,0,0,0,4,4,23,10,11,4,0,0,0,0,0,0,0,0,0,0,59,1,0,1,0,1,1,0,0,0,0,0,1,0,0,175.26,182.88,170,28,0,0,1,0,0
29,0.25,0,0.32,0.26,0.25,0.34,0,0,0,0,95.25,30.25,79,19.75,98.5,33.25,82.25,22.25,0.25,0.25,3.75,1,73.5,13.75,59.75,7.5,6.75,4.25,9.25,5.5,15,12.25,10,6.75,90.75,26.25,71.5,15.75,2.75,2.25,3.75,1.75,1.75,1.75,3.75,2.25,6.25,62.75,749.75,7,0,0,1,2,2,1,0,0,1,0,1,0,0,185.42,193.04,170,35,1,0,0,0,0
30,0,0,0.3025,0.4325,0.25,0.3825,0,0,0,0,188.25,58.75,145.25,63.25,192.5,63,146.75,64.75,1.75,0.25,3.25,1.75,155.5,40,113.25,38.5,27.5,14,15.5,10.5,5.25,4.75,16.5,14.25,184.75,56.75,129.25,53.75,3.5,2,13.5,8,0,0,2.5,1.5,8,32.5,900,9,0,2,0,2,2,1,0,0,0,2,0,0,0,185.42,180.34,170,27,1,0,0,0,0
31,0.265625,0,0.51578125,0.341367188,0.644179688,0.578515625,0.515625,1.14453125,0.53125,0.1875,68.54296875,37.0390625,42.70703125,17.96484375,76.30078125,44.03515625,77.43359375,48.25,0.87109375,0.71484375,2.19921875,1.71484375,48.546875,21.6171875,26.828125,6.765625,13.53515625,10.19921875,4.6796875,3.0703125,6.4609375,5.22265625,11.19921875,8.12890625,48.5078125,22.484375,32.3828125,10.421875,12.328125,10.09765625,5.6953125,3.9921875,7.70703125,4.45703125,4.62890625,3.55078125,127.5429688,189.2226563,531.1210938,23,0,1,0,2,6,3,0,0,0,2,2,2,0,190.5,198.12,170,30,1,0,0,0,0
32,0.875,0.5625,0.41203125,0.391796875,0.24234375,0.25078125,0.1640625,0.00390625,0.00390625,0.5078125,58.96875,25.69140625,73.21875,30.390625,91.51171875,54.13671875,95.78125,51.30859375,2.85546875,0.99609375,1.17578125,0.50390625,50.4140625,18.21484375,59.625,22.99609375,3.79296875,2.734375,8.8046875,5.0625,4.76171875,4.7421875,4.7890625,2.33203125,49.69140625,20.3671875,51.14453125,14.546875,1.14453125,0.8203125,1.60546875,1.03515625,8.1328125,4.50390625,20.46875,14.80859375,140.3710938,257.1132813,715.46875,22,0,0,3,2,4,5,0,0,0,2,1,1,0,182.88,190.5,170,33,1,0,0,0,0
33,0,0,0.475,0.4225,0.5,0.3425,0.5,0,0,0.5,99.75,46.75,102.75,43,103.75,49.75,121.75,60.75,1.75,0.75,10.75,4,68,22.5,82,26.25,16.75,11.5,15.25,12,15,12.75,5.5,4.75,90.25,40.75,87.5,31,6.75,4,9.25,6,2.75,2,6,6,40.5,372,900,9,0,0,3,0,0,3,0,0,0,0,0,0,0,177.8,177.8,170,34,0,1,0,0,1
34,0.375,0,0.45375,0.2925,0.3,0.0525,0,0.125,0,0,81.125,38.375,84,25.625,81.75,39,89.125,30.75,2.75,1.5,2.5,0.375,61,22.5,65.25,15.25,13.5,9.375,14.625,7.25,6.625,6.5,4.125,3.125,69.125,31,80.5,23.875,9.125,5.5,2.875,1.5,2.875,1.875,0.625,0.25,18,24.125,648.25,8,0,0,1,3,3,1,0,0,0,1,2,0,0,180.34,177.8,170,36,1,0,0,0,0
35,1.410766602,0.187583923,0.674779968,0.324240494,0.567713547,0.140651245,0.005020142,7.63E-05,0.00012207,0.031257629,113.6514893,66.87001038,70.56513977,30.17354584,117.8767166,69.40175629,117.4977036,72.75930023,0.888549805,0.632293701,1.551956177,0.263412476,84.20153046,44.62592316,51.83575439,17.74796295,20.73941803,15.74547577,13.32802582,7.671707153,8.710540771,6.49861145,5.401359558,4.753875732,66.67657471,34.40736389,62.5635376,24.33896637,14.17292023,11.07684326,7.155166626,5.363609314,32.80199432,21.38580322,0.846435547,0.470970154,217.3645782,46.64648438,611.0924301,47,0,2,0,3,12,6,0,0,0,5,5,1,1,180.34,187.96,170,35,1,0,0,0,0
36,0.046875,0.03125,0.3575,0.4715625,0.241875,0.3125,0.390625,0,0.0625,0,77.125,31.8125,74.953125,41.015625,95.3125,46.921875,90.03125,52.953125,3.828125,0.703125,2.59375,1.0625,68.53125,26.28125,52.34375,23.171875,4.78125,2,17.328125,13.5625,3.8125,3.53125,5.28125,4.28125,53.265625,14.359375,42.984375,18.453125,16.53125,11.28125,10.65625,7.34375,7.328125,6.171875,21.3125,15.21875,180.484375,181.46875,668.421875,13,0,3,0,3,5,2,0,0,0,1,0,4,0,187.96,187.96,170,28,0,0,1,0,0
37,0.6875,0,0.38875,0.235625,0.0625,0.13375,0,0.5,0,0,87.1875,43.875,64.375,19.4375,93.1875,48.1875,67.6875,21.75,0.0625,0.0625,1.9375,0.5625,73.625,33.375,44.8125,7.5,7,4.625,16.6875,9.1875,6.5625,5.875,2.875,2.75,77.9375,35.75,59.8125,15.75,7.5,6.625,4.5625,3.6875,1.75,1.5,0,0,9.5625,51.0625,501.0625,10,0,1,0,1,3,2,0,0,0,0,3,0,0,182.88,187.96,170,35,1,0,0,0,0
38,0.0625,0,0.287484131,0.296651611,0.0031604,0.218527832,1.138549805,0.063232422,0.2109375,0.314453125,124.0625,36.36108398,69.07836914,21.73071289,135.3659668,47.02172852,95.35266113,47.17480469,0.029541016,0.010253906,7.357788086,1.188232422,105.3909912,21.05322266,61.40820313,17.13452148,3.871826172,2.464355469,4.632080078,2.856567383,14.79968262,12.84350586,3.038085938,1.739624023,120.347168,33.71594238,65.35424805,18.1730957,0.818847656,0.727172852,3.239624023,3.221557617,2.896484375,1.91796875,0.48449707,0.33605957,55.61914063,190.9298096,878.1481934,38,0,0,2,4,9,5,0,0,0,5,1,3,0,182.88,185.42,170,30,1,0,0,0,1
39,0.54296875,0.032226563,0.630654297,0.526730957,0.190888672,0.503828125,0.314208984,0.015625,0,0,48.93225098,25.42346191,32.80761719,15.77038574,61.9732666,36.02832031,44.23706055,26.11633301,2.279418945,0.934448242,1.64855957,1.014648438,34.45495605,14.20397949,22.94238281,8.569335938,6.217895508,4.395263672,4.698852539,2.57800293,8.259399414,6.82421875,5.166381836,4.623046875,33.82910156,14.67773438,29.33557129,13.20922852,5.333251953,3.110595703,2.510375977,2.120483398,9.769897461,7.635131836,0.961669922,0.440673828,116.4908447,119.3597412,487.5958252,31,0,3,0,5,11,3,0,0,0,4,3,4,0,177.8,180.34,170,33,1,0,0,0,0
40,1,0,0.57,0.19,1,0,0,0,0,0,61,35,42,8,61,35,42,8,1,1,0,0,38,16,30,2,7,3,4,0,16,16,8,6,51,29,42,8,0,0,0,0,10,6,0,0,0,9,452,2,0,1,0,1,1,0,0,0,0,0,1,0,0,187.96,187.96,170,27,1,0,0,0,1
41,0.168764059,0.753173869,0.1823591,0.647414053,0.158363835,0.015649767,0.015842975,0.000244141,0.015626967,5.96E-08,65.99444811,24.74227338,72.74271048,40.75619652,66.22601853,24.96391306,73.56146102,41.55876605,0.261399886,0.167272838,0.424097488,0.015749514,54.35635168,15.92614572,55.17579387,28.53913086,7.61462988,4.882711198,9.713034325,5.661915174,4.023466552,3.933416463,7.85388228,6.555150482,63.35036026,23.08702089,60.35307243,30.74393473,1.242691184,0.820576311,3.611270953,2.989464424,1.40139667,0.834676181,8.778367092,7.022797361,5.317916618,9.581822272,288.7767324,72,1,4,0,8,23,11,0,0,0,7,10,6,0,185.42,185.42,155,37,1,0,0,0,0
42,0.880859375,0.072265625,0.461171875,0.566191406,0.022363281,0.268125,0.05078125,0.01171875,0.296875,0,37.31054688,16.79101563,34.87304688,20.89648438,48.22265625,24.86914063,39.73828125,25.38671875,1.220703125,0.064453125,1.28125,0.671875,29.64257813,12.20117188,31.73242188,18.21289063,5.1796875,2.408203125,1.580078125,1.25,2.48828125,2.181640625,1.560546875,1.43359375,23.54101563,8.115234375,18.49023438,9.259765625,3.50390625,2.15625,2.630859375,1.888671875,10.265625,6.51953125,13.75195313,9.748046875,43.63476563,80.87695313,232.3710938,15,0,1,0,2,6,4,0,0,0,0,4,2,0,182.88,193.04,170,30,1,0,0,0,0
43,0,0,0.4375,0.3725,0.125,0.21,0,0,0,0,121.5,52.5,99.25,37.5,178.25,106.75,111.25,48,1,0.25,7.25,1.5,88.25,29,69,17.5,14.25,7.5,13.75,7.25,19,16,16.5,12.75,104,39.25,90.25,32,13,10.25,1.5,0.5,4.5,3,7.5,5,33.5,262.5,900,9,0,2,0,2,2,1,0,0,0,2,0,0,0,172.72,177.8,170,35,1,0,0,0,1
44,0.0859375,0.064453125,0.451308594,0.483461914,0.381777344,0.00765625,0.628417969,0.03125,0,0,81.86450195,37.84692383,58.61523438,27.54077148,106.9465332,58.05664063,81.47412109,48.23266602,4.558837891,1.868896484,1.297119141,0.029296875,55.90991211,18.40795898,38.88476563,13.13867188,11.43579102,7.790527344,9.397705078,5.156005859,14.51879883,11.6484375,10.33276367,9.24609375,60.65820313,24.35546875,51.67114258,22.41845703,10.66650391,6.221191406,5.020751953,4.240966797,10.53979492,7.270263672,1.923339844,0.881347656,228.9816895,155.7194824,821.1916504,30,0,3,0,4,10,3,0,0,0,4,2,4,0,177.8,180.34,170,33,0,1,0,0,1
45,1.791992188,0.384765625,0.439150391,0.349609375,0.465517578,0.05315918,0,0.081054688,0.06640625,0,160.1704102,69.62402344,156.7578125,55.97607422,164.0092773,72.21044922,160.5102539,58.98876953,2.192382813,1.2890625,1.814453125,0.158691406,125.9624023,45.10644531,122.8261719,32.1875,9.307128906,6.680175781,23.32910156,15.46142578,24.90087891,17.83740234,10.60253906,8.327148438,146.1889648,60.52050781,146.362793,50.23095703,9.105957031,5.184570313,7.590820313,4.2109375,4.875488281,3.918945313,2.804199219,1.534179688,36.46337891,40.46240234,853.2138672,29,0,1,0,4,9,3,0,0,1,2,6,0,0,182.88,180.34,170,31,1,0,0,0,1
46,0.1875,0.5,0.497109375,0.38875,0.62875,0.07546875,0.7578125,0,0.1328125,0,139.2734375,69.453125,194.3515625,72.1953125,160.21875,87.296875,203.7109375,81.03125,5.921875,3.8125,1.2109375,0.140625,99.3125,38.2578125,165.0703125,50.3203125,33.8046875,25.6796875,17.625,11.71875,6.15625,5.515625,11.65625,10.15625,121.5234375,57.5546875,175.7734375,58.4765625,15.125,10.0546875,17.0546875,12.8671875,2.625,1.84375,1.5234375,0.8515625,197.03125,84.390625,892.125,22,0,0,1,1,3,5,0,1,0,1,1,0,0,180.34,193.04,170,34,0,1,0,0,1
